word	reading	example_jp	example_en
几帳面な	きちょうめんな	彼は几帳面な性格で、机の上がいつもきれいだ。	He has a neat and orderly personality, and his desk is always clean.
大ざっぱな	おおざっぱな	彼女は大ざっぱなところがあるけど、細かいことは気にしない。	She’s kind of rough around the edges, but she doesn’t worry about small details.
きちっとした	きちっとした	きちっとした服装で面接に現れた。	He showed up to the interview dressed neatly and properly.
雑な	ざつな	このレポートは書き方が雑すぎる。	This report is far too sloppy in how it’s written.
いい加減な	いいかげんな	いい加減な説明で納得できなかった。	I couldn’t be convinced by such a half-baked explanation.
ルーズな	るーずな	時間にルーズな人とは約束しづらい。	It’s hard to make plans with someone who’s lax about time.
勤勉な	きんべんな	彼はとても勤勉な学生だ。	He’s a very diligent student.
生真面目な	きまじめな	生真面目な性格で冗談が通じないこともある。	She has a very serious personality, so jokes don’t always land.
不真面目な	ふまじめな	不真面目な態度が問題になった。	His unserious attitude became a problem.
品がいい	ひんがいい	彼女は話し方が落ち着いていて品がいい。	She speaks calmly and has a refined manner.
上品な	じょうひんな	上品な雰囲気のレストランだった。	It was a restaurant with an elegant atmosphere.
気品がある	きひんがある	年齢を重ねても気品がある人だ。	Even as they age, they remain a person of grace and dignity.
品が悪い	ひんがわるい	ああいう言い方は品が悪いと思う。	I think that kind of way of speaking is crude.
下品な	げひんな	下品な冗談に場の空気が冷えた。	A vulgar joke made the atmosphere go cold.
融通が利く	ゆうずうがきく	彼は融通が利くから相談しやすい。	He’s flexible, so he’s easy to talk to.
融通が利かない	ゆうずうがきかない	規則に厳しくて融通が利かない上司だ。	He’s a boss who’s strict about rules and inflexible.
素直な	すなおな	彼女は注意されると素直に聞き入れる。	When she’s corrected, she listens honestly.
頑固な	がんこな	一度決めたら曲げない頑固な性格だ。	Once he makes a decision, he won’t bend — he’s stubborn.
親切な	しんせつな	親切な店員さんに助けられた。	A kind store clerk helped me out.
冷淡な	れいたんな	彼の冷淡な態度に少し傷ついた。	I was a little hurt by his cold attitude.
クールな	くーるな	クールな対応で場をまとめた。	They kept things under control with a cool, composed response.
ドライな	どらいな	仕事とプライベートを分けるドライな考え方だ。	It’s a dry way of thinking that clearly separates work and private life.
冷酷な	れいこくな	冷酷な判断だと感じた。	I felt it was a cruel decision.
愛想が良い	あいそがいい	あの店のスタッフは愛想が良い。	The staff at that shop are very friendly.
愛想が悪い	あいそがわるい	彼は愛想が悪く誤解されやすい。	He comes across as unfriendly and is easily misunderstood.
無愛想な	ぶあいそうな	無愛想な返事に驚いた。	I was surprised by the curt reply.
社交的な	しゃこうてきな	彼女は社交的で友達が多い。	She’s sociable and has a lot of friends.
非社交的な	ひしゃこうてきな	彼は非社交的で大人数が苦手だ。	He’s unsociable and not good with large groups.
楽観的な	らっかんてきな	彼はいつも楽観的に物事を考える。	He always thinks about things optimistically.
悲観的な	ひかんてきな	悲観的な考え方をやめたい。	I want to stop thinking so pessimistically.
誠実な	せいじつな	誠実な対応に信頼が持てた。	I was able to trust their sincere response.
真摯な	しんしな	真摯な姿勢で問題に向き合っている。	They are facing the problem with a sincere and earnest attitude.
温和な	おんわな	温和な人柄で誰からも好かれる。	He has a gentle personality and is liked by everyone.
寛容な	かんような	失敗を許してくれる寛容な上司だ。	He’s a tolerant boss who forgives mistakes.
謙虚な	けんきょな	成功しても謙虚な態度を忘れない。	Even after succeeding, they don’t forget to stay humble.
気さくな	きさくな	気さくな人で初対面でも話しやすい。	They’re an easygoing person, so they’re easy to talk to even on first meeting.
